post_id,user,text,source,comment_id,text_orig,keywords,labels
post001,TrainTravelerMax,struggle log train train service website,0,,Struggling to log into the train service website,set(),set()
post001,TrainTravelerMax,load strangely browse access train login websites fine vpn,1,,"I tried accessing the train login page today but it just kept spinning without ever loading. Strangely, I can browse other websites just fine. I have a VPN running because of work, maybe that’s interfering?","{'today', 'vpn'}","{'protocol', 'date'}"
post002,HomeOfficeSally,signal drop frequently,0,,Wi-Fi signal drops frequently when I move around the house,set(),set()
post002,HomeOfficeSally,disconnect extremely slow wifi disconnect extremely room wifi disconnect,1,,"Whenever I go to the basement or the far end of the living room, my Wi-Fi keeps disconnecting or is extremely slow.",set(),set()
post003,GamerGuy89,ping fine load websites online game load certain websites,0,,Ping is fine but I can't load certain websites or online games,{'ping'},{'tool'}
post003,GamerGuy89,ping game servers servers low stable,1,,"My ping to the game servers is low and stable, but I can’t load some game features or web pages. Other internet stuff works normally.",{'ping'},{'tool'}
post004,SmartphoneSusi,connect wifi internet,0,,Phone connected to Wi-Fi but no internet access,set(),set()
post004,SmartphoneSusi,wifi try browse connect home wifi,1,,"My phone shows it’s connected to my home Wi-Fi, but when I try to browse or use apps, nothing loads. Other devices on the network work perfectly fine.",set(),set()
post005,OfficePaul,desk wifi barely,0,,"After moving office desk, Wi-Fi barely works",set(),set()
post005,OfficePaul,relocate desk suddenly suddenly wifi speed,1,,I relocated my desk and suddenly Wi-Fi speed dropped dramatically. Signal strength is weak compared to before.,set(),set()
post006,TravelerJoe,access work ethernet,0,,"Internet access only works via Ethernet, not Wi-Fi",set(),set()
post006,TravelerJoe,cable wifi connect online plug cable connect internet,1,,"I can get online when plugged in via cable, but Wi-Fi shows connected without internet.",set(),set()
post007,RemoteWorkerAnna,disconnect randomly video,0,,VPN disconnects randomly during video calls,{'vpn'},{'protocol'}
post007,RemoteWorkerAnna,conferences vpn connection,1,,"Whenever I join video conferences, my VPN connection drops every 10-15 minutes.","{'vpn', '10-15 minutes'}","{'protocol', 'time'}"
post008,HomeUserBen,slow internet laptop,0,,Slow internet only on my laptop,{'laptop'},{'device'}
post008,HomeUserBen,devices network fast fast laptop crawl network fast laptop,1,,"Other devices on my network are fast but my laptop is crawling. Tried restarting, no change.",{'laptop'},{'device'}
post009,ITNewbieTom,router internet access ping router internet,0,,Can ping router but no internet access,"{'router', 'ping'}","{'device', 'tool'}"
post009,ITNewbieTom,ping router ip ip fine browse,1,,I can ping my router IP just fine but can’t browse the web or access online services.,"{'router', 'ping'}","{'device', 'tool'}"
post010,FreelancerLily,company intranet accessible,0,,Company intranet not accessible from home,set(),set()
post010,FreelancerLily,company intranet page remotely rest internet,1,,"I can’t open the company intranet page when working remotely, but the rest of the internet works.",set(),set()
post011,StudentSam,load university websites slow load university,0,,Slow loading on university websites,{'university'},{'malware'}
post011,StudentSam,university sit load really slow sit,1,,"University sites load really slow, but other sites are fine.",{'university'},{'malware'}
post012,DeveloperDave,storage fail intermittently upload cloud storage,0,,Uploads to cloud storage fail intermittently,set(),set()
post012,DeveloperDave,cloud storage time file cloud storage,1,,"Sometimes when uploading large files to cloud storage, it just times out after a while.",set(),set()
post013,RemoteNina,video conference audio conference audio wifi access video conference,0,,Can't access video conference audio on Wi-Fi,set(),set()
post013,RemoteNina,drop distort connect distort connect wifi audio drop distort,1,,Video works fine but audio drops out or is distorted when connected to Wi-Fi.,set(),set()
post014,OfficePaul,desk wifi barely,0,,"After moving office desk, Wi-Fi barely works",set(),set()
post014,OfficePaul,relocate desk suddenly suddenly wifi speed,1,,I relocated my desk and suddenly Wi-Fi speed dropped dramatically. Signal strength is weak compared to before.,set(),set()
post015,TechEnthusiastTina,connect access company access company servers vpn connect access,0,,VPN connected but no access to company servers,{'vpn'},{'protocol'}
post015,TechEnthusiastTina,status connect reach vpn status connect reach internal resources,1,,VPN status shows connected but I can’t reach any internal resources.,{'vpn'},{'protocol'}
post016,NetAdminNick,router reboot randomly reboot randomly peak,0,,Router reboots randomly during peak hours,"{'hours', 'router'}","{'time', 'device'}"
post016,NetAdminNick,router restart day people log,1,,My router restarts every day around 5 PM when many people log on.,"{'router', 'every day'}","{'date', 'device'}"
post017,HomeUserHelen,internet slow evenings,0,,Internet very slow only in evenings,set(),set()
post017,HomeUserHelen,speed drop sharply drop sharply pm mornings fine,1,,"Speed drops sharply after 7 PM every day, but mornings are fine.",{'7 pm every day'},{'time'}
post018,StudentSteve,open sit campus sit campus wifi,0,,Can't open some sites on campus Wi-Fi,set(),set()
