node_type,post_id,comment_id,source,text_orig,node_name
0,post002,,0,Wi-Fi signal drops frequently when I move around the house,wifi_connectivity_troubleshooting_kit
0,post002,,1,"Whenever I go to the basement or the far end of the living room, my Wi-Fi keeps disconnecting or is extremely slow.",wifi_connectivity_troubleshooting_kit
0,post002,,1,"Whenever I go to the basement or the far end of the living room, my Wi-Fi keeps disconnecting or is extremely slow.",wifi_connectivity_troubleshooting_kit
1,post002,,1,"Whenever I go to the basement or the far end of the living room, my Wi-Fi keeps disconnecting or is extremely slow.",network_driver_update_cluster
0,post003,,0,Ping is fine but I can't load certain websites or online games,wifi_connectivity_troubleshooting_kit
0,post003,,0,Ping is fine but I can't load certain websites or online games,wifi_connectivity_troubleshooting_kit
0,post003,,0,Ping is fine but I can't load certain websites or online games,wifi_connectivity_troubleshooting_kit
0,post003,,0,Ping is fine but I can't load certain websites or online games,wifi_connectivity_troubleshooting_kit
0,post004,,1,"My phone shows it’s connected to my home Wi-Fi, but when I try to browse or use apps, nothing loads. Other devices on the network work perfectly fine.",wifi_connectivity_troubleshooting_kit
1,post004,,1,"My phone shows it’s connected to my home Wi-Fi, but when I try to browse or use apps, nothing loads. Other devices on the network work perfectly fine.",wifi_connection_assistance
0,post005,,1,I relocated my desk and suddenly Wi-Fi speed dropped dramatically. Signal strength is weak compared to before.,wifi_connectivity_troubleshooting_kit
0,post006,,1,"I can get online when plugged in via cable, but Wi-Fi shows connected without internet.",wifi_connectivity_troubleshooting_kit
1,post006,,1,"I can get online when plugged in via cable, but Wi-Fi shows connected without internet.",connectplug_cable
2,post006,,1,"I can get online when plugged in via cable, but Wi-Fi shows connected without internet.",wireless_driver_management
0,post009,,0,Can ping router but no internet access,wifi_connectivity_troubleshooting_kit
1,post009,,0,Can ping router but no internet access,internet_router_pinger
0,post009,,1,I can ping my router IP just fine but can’t browse the web or access online services.,wifi_connectivity_troubleshooting_kit
2,post009,,1,I can ping my router IP just fine but can’t browse the web or access online services.,fine_browse_tool
0,post012,,0,Uploads to cloud storage fail intermittently,intermittent_cloud_storage_issue
1,post012,,0,Uploads to cloud storage fail intermittently,cloudsync_storage_assist
0,post015,,0,VPN connected but no access to company servers,wifi_connectivity_troubleshooting_kit
0,post015,,1,VPN status shows connected but I can’t reach any internal resources.,wifi_connectivity_troubleshooting_kit
0,post015,,1,VPN status shows connected but I can’t reach any internal resources.,wifi_connectivity_troubleshooting_kit
0,post016,,0,Router reboots randomly during peak hours,random_router_reboot_event
1,post016,,0,Router reboots randomly during peak hours,random_peak_reboot_scheduler
0,post017,,0,Internet very slow only in evenings,wifi_connectivity_troubleshooting_kit
0,post017,,1,"Speed drops sharply after 7 PM every day, but mornings are fine.",morning_speed_decline
0,post018,,1,"Certain sites won’t load on campus Wi-Fi, but on my phone’s mobile data they work.",mobile_campus_data_hub
1,post018,,1,"Certain sites won’t load on campus Wi-Fi, but on my phone’s mobile data they work.",campus_data_link
0,post019,,1,"Video streaming buffers a lot when connected via repeater, but directly to router it’s fine.",stream_buffer_connectivity_protocol
2,post019,,1,"Video streaming buffers a lot when connected via repeater, but directly to router it’s fine.",stream_linker
0,post020,,1,My laptop connects to Wi-Fi but I can’t see or access shared folders on the network.,wifi_connectivity_troubleshooting_kit
0,post020,,1,My laptop connects to Wi-Fi but I can’t see or access shared folders on the network.,wifi_connectivity_troubleshooting_kit
0,post020,,1,My laptop connects to Wi-Fi but I can’t see or access shared folders on the network.,wifi_connectivity_troubleshooting_kit
0,post021,,1,"I can get online when plugged in via cable, but Wi-Fi shows connected without internet.",wifi_connectivity_troubleshooting_kit
2,post021,,1,"I can get online when plugged in via cable, but Wi-Fi shows connected without internet.",wireless_driver_management
0,post022,,1,I get random lag spikes and sometimes get disconnected.,wifi_connectivity_troubleshooting_kit
0,post023,,1,My phone won’t sync corporate emails unless I’m on VPN.,corporate_email_sync_vpn_issue
