post_id,comment_id,source,labels,text_orig,text,keywords
post001,,0,set(),Struggling to log into the train service website,struggle log train train service website,"{'train', 'website', 'service', 'struggle', 'log'}"
post001,,1,"{'protocol', 'date'}","I tried accessing the train login page today but it just kept spinning without ever loading. Strangely, I can browse other websites just fine. I have a VPN running because of work, maybe that’s interfering?",load strangely browse access train login websites fine vpn,"{'train', 'access', 'fine', 'login', 'websites', 'browse', 'load', 'vpn', 'strangely'}"
post002,,0,set(),Wi-Fi signal drops frequently when I move around the house,signal drop frequently,"{'signal', 'drop', 'frequently'}"
post002,,1,set(),"Whenever I go to the basement or the far end of the living room, my Wi-Fi keeps disconnecting or is extremely slow.",disconnect extremely slow wifi disconnect extremely room wifi disconnect,"{'slow', 'wifi', 'disconnect', 'extremely', 'room'}"
post003,,0,{'tool'},Ping is fine but I can't load certain websites or online games,ping fine load websites online game load certain websites,"{'fine', 'websites', 'online', 'game', 'certain', 'load', 'ping'}"
post003,,1,{'tool'},"My ping to the game servers is low and stable, but I can’t load some game features or web pages. Other internet stuff works normally.",ping game servers servers low stable,"{'servers', 'stable', 'game', 'low', 'ping'}"
post004,,0,set(),Phone connected to Wi-Fi but no internet access,connect wifi internet,"{'wifi', 'connect', 'internet'}"
post004,,1,set(),"My phone shows it’s connected to my home Wi-Fi, but when I try to browse or use apps, nothing loads. Other devices on the network work perfectly fine.",wifi try browse connect home wifi,"{'wifi', 'try', 'connect', 'browse', 'home'}"
post005,,0,set(),"After moving office desk, Wi-Fi barely works",desk wifi barely,"{'wifi', 'desk', 'barely'}"
post005,,1,set(),I relocated my desk and suddenly Wi-Fi speed dropped dramatically. Signal strength is weak compared to before.,relocate desk suddenly suddenly wifi speed,"{'desk', 'suddenly', 'wifi', 'speed', 'relocate'}"
post006,,0,set(),"Internet access only works via Ethernet, not Wi-Fi",access work ethernet,"{'work', 'access', 'ethernet'}"
post006,,1,set(),"I can get online when plugged in via cable, but Wi-Fi shows connected without internet.",cable wifi connect online plug cable connect internet,"{'cable', 'wifi', 'plug', 'internet', 'online', 'connect'}"
post007,,0,{'protocol'},VPN disconnects randomly during video calls,disconnect randomly video,"{'video', 'disconnect', 'randomly'}"
post007,,1,"{'protocol', 'time'}","Whenever I join video conferences, my VPN connection drops every 10-15 minutes.",conferences vpn connection,"{'connection', 'vpn', 'conferences'}"
post008,,0,{'device'},Slow internet only on my laptop,slow internet laptop,"{'slow', 'laptop', 'internet'}"
post008,,1,{'device'},"Other devices on my network are fast but my laptop is crawling. Tried restarting, no change.",devices network fast fast laptop crawl network fast laptop,"{'fast', 'crawl', 'network', 'devices', 'laptop'}"
post009,,0,"{'device', 'tool'}",Can ping router but no internet access,router internet access ping router internet,"{'ping', 'access', 'internet', 'router'}"
post009,,1,"{'device', 'tool'}",I can ping my router IP just fine but can’t browse the web or access online services.,ping router ip ip fine browse,"{'fine', 'router', 'browse', 'ping', 'ip'}"
post010,,0,set(),Company intranet not accessible from home,company intranet accessible,"{'accessible', 'intranet', 'company'}"
post010,,1,set(),"I can’t open the company intranet page when working remotely, but the rest of the internet works.",company intranet page remotely rest internet,"{'rest', 'company', 'remotely', 'internet', 'page', 'intranet'}"
post011,,0,{'malware'},Slow loading on university websites,load university websites slow load university,"{'slow', 'websites', 'university', 'load'}"
post011,,1,{'malware'},"University sites load really slow, but other sites are fine.",university sit load really slow sit,"{'sit', 'slow', 'really', 'load', 'university'}"
post012,,0,set(),Uploads to cloud storage fail intermittently,storage fail intermittently upload cloud storage,"{'storage', 'fail', 'upload', 'cloud', 'intermittently'}"
post012,,1,set(),"Sometimes when uploading large files to cloud storage, it just times out after a while.",cloud storage time file cloud storage,"{'cloud', 'storage', 'file', 'time'}"
post013,,0,set(),Can't access video conference audio on Wi-Fi,video conference audio conference audio wifi access video conference,"{'access', 'wifi', 'conference', 'audio', 'video'}"
post013,,1,set(),Video works fine but audio drops out or is distorted when connected to Wi-Fi.,drop distort connect distort connect wifi audio drop distort,"{'wifi', 'audio', 'distort', 'drop', 'connect'}"
post014,,0,set(),"After moving office desk, Wi-Fi barely works",desk wifi barely,"{'wifi', 'desk', 'barely'}"
post014,,1,set(),I relocated my desk and suddenly Wi-Fi speed dropped dramatically. Signal strength is weak compared to before.,relocate desk suddenly suddenly wifi speed,"{'desk', 'suddenly', 'wifi', 'speed', 'relocate'}"
post015,,0,{'protocol'},VPN connected but no access to company servers,connect access company access company servers vpn connect access,"{'access', 'company', 'servers', 'connect', 'vpn'}"
post015,,1,{'protocol'},VPN status shows connected but I can’t reach any internal resources.,status connect reach vpn status connect reach internal resources,"{'internal', 'resources', 'reach', 'connect', 'status', 'vpn'}"
post016,,0,"{'time', 'device'}",Router reboots randomly during peak hours,router reboot randomly reboot randomly peak,"{'randomly', 'reboot', 'peak', 'router'}"
post016,,1,"{'date', 'device'}",My router restarts every day around 5 PM when many people log on.,router restart day people log,"{'restart', 'router', 'day', 'people', 'log'}"
post017,,0,set(),Internet very slow only in evenings,internet slow evenings,"{'evenings', 'slow', 'internet'}"
post017,,1,{'time'},"Speed drops sharply after 7 PM every day, but mornings are fine.",speed drop sharply drop sharply pm mornings fine,"{'fine', 'mornings', 'speed', 'drop', 'sharply', 'pm'}"
post018,,0,set(),Can't open some sites on campus Wi-Fi,open sit campus sit campus wifi,"{'sit', 'open', 'campus', 'wifi'}"
post018,,1,set(),"Certain sites won’t load on campus Wi-Fi, but on my phone’s mobile data they work.",campus wifi phone mobile data work load campus wifi,"{'campus', 'mobile', 'wifi', 'data', 'load', 'work', 'phone'}"
post019,,0,set(),Slow streaming when using repeater,stream use repeater,"{'use', 'stream', 'repeater'}"
post019,,1,{'device'},"Video streaming buffers a lot when connected via repeater, but directly to router it’s fine.",connect repeater directly video stream buffer,"{'repeater', 'video', 'stream', 'connect', 'directly', 'buffer'}"
post020,,0,set(),Wi-Fi connected but no file sharing with coworkers,file share coworkers connect file share,"{'coworkers', 'share', 'connect', 'file'}"
post020,,1,{'device'},My laptop connects to Wi-Fi but I can’t see or access shared folders on the network.,access share folders share folders network connect wifi access,"{'access', 'folders', 'wifi', 'network', 'connect', 'share'}"
post021,,0,set(),"Internet access only works via Ethernet, not Wi-Fi",access work ethernet,"{'work', 'access', 'ethernet'}"
post021,,1,set(),"I can get online when plugged in via cable, but Wi-Fi shows connected without internet.",cable wifi connect online plug cable connect internet,"{'cable', 'wifi', 'plug', 'internet', 'online', 'connect'}"
post022,,0,{'network_concept'},High latency and packet loss during online gaming,high latency packet latency packet loss packet loss online,"{'high', 'packet', 'latency', 'online', 'loss'}"
post022,,1,set(),I get random lag spikes and sometimes get disconnected.,lag spike disconnect random lag spike,"{'random', 'spike', 'disconnect', 'lag'}"
post023,,0,{'malware'},Corporate email not syncing on mobile,corporate email sync email sync mobile,"{'corporate', 'sync', 'email', 'mobile'}"
post023,,1,{'protocol'},My phone won’t sync corporate emails unless I’m on VPN.,sync corporate email im vpn wont sync corporate,"{'wont', 'corporate', 'sync', 'email', 'vpn', 'im'}"
post024,,0,set(),Wi-Fi drops whenever microwave is on,wifi drop microwave,"{'wifi', 'drop', 'microwave'}"
post024,,1,set(),"Whenever I use the microwave, Wi-Fi speeds drop or disconnect.",speed drop disconnect microwave wifi speed,"{'wifi', 'microwave', 'disconnect', 'speed', 'drop'}"
post025,,0,{'protocol'},VPN connected but slow internet,connect slow internet vpn connect slow,"{'vpn', 'slow', 'connect', 'internet'}"
post025,,1,{'protocol'},"When connected to VPN, my internet speed drops significantly.",connect vpn internet internet speed drop,"{'internet', 'speed', 'drop', 'connect', 'vpn'}"
post026,,0,{'device'},Can't print to network printer over Wi-Fi,print network printer,"{'network', 'print', 'printer'}"
post026,,1,{'device'},My laptop can’t find the network printer unless I’m connected via Ethernet.,laptop network printer connect ethernet,"{'network', 'printer', 'connect', 'laptop', 'ethernet'}"
post027,,0,set(),Can't access online exams portal from dorm Wi-Fi,exams portal dorm portal dorm wifi online exams portal access online exams,"{'access', 'wifi', 'portal', 'online', 'exams', 'dorm'}"
post027,,1,set(),"The portal doesn't load, but other sites are fine.",portal doesnt load doesnt load sit,"{'sit', 'portal', 'doesnt', 'load'}"
post028,,0,{'person'},Slow Wi-Fi after adding new smart devices,slow wifi add new smart devices,"{'slow', 'new', 'wifi', 'smart', 'add', 'devices'}"
post028,,1,set(),"Ever since I added new smart bulbs and cameras, my Wi-Fi has become slow.",bulbs cameras wifi smart bulbs cameras cameras wifi slow,"{'slow', 'wifi', 'bulbs', 'smart', 'cameras'}"
post029,,0,{'protocol'},Can’t connect to VPN from coffee shop Wi-Fi,connect vpn coffee coffee shop wifi,"{'shop', 'coffee', 'wifi', 'connect', 'vpn'}"
post029,,1,{'protocol'},"Public Wi-Fi blocks VPN connections, any workarounds?",block vpn connections vpn connections workarounds public wifi block,"{'wifi', 'connections', 'workarounds', 'public', 'vpn', 'block'}"
post030,,0,set(),Wi-Fi signal strong but video calls lag,signal strong video,"{'signal', 'strong', 'video'}"
post030,,1,set(),Signal shows full bars but video conferences freeze and audio cuts out.,conferences freeze audio bar video conferences video conferences freeze,"{'bar', 'audio', 'freeze', 'video', 'conferences'}"
post037,,0,set(),Ethernet shows connected but no internet access,ethernet connect internet connect internet access,"{'access', 'connect', 'internet', 'ethernet'}"
post037,,1,set(),"Windows says I'm connected via Ethernet, but there's no internet. Wi-Fi works fine on the same network. Tried disabling/enabling the adapter — no luck.",network try disablingenabling internet wifi work im connect ethernet,"{'wifi', 'network', 'internet', 'try', 'connect', 'disablingenabling', 'work', 'im', 'ethernet'}"
post038,,0,"{'time', 'cardinal', 'tool'}",Ping spikes every 30 seconds on Windows 11,ping spike 30 spike 30 second 30 second windows,"{'windows', 'second', 'ping', 'spike', '30'}"
post038,,1,"{'time', 'tool'}",Every 30–40 seconds I get a ping spike in online games. Task Manager shows 'Service Host: Network Service' spiking at the same time.,network service spike ping spike online,"{'network', 'service', 'online', 'ping', 'spike'}"
post039,,0,{'protocol'},VPN disconnects Wi-Fi access to everything else,disconnect wifi access vpn disconnect wifi,"{'wifi', 'access', 'vpn', 'disconnect'}"
post039,,1,{'protocol'},"As soon as I connect to my company’s VPN, I lose access to all other internet — can’t browse, use Teams, etc.",connect company vpn vpn lose access company vpn lose,"{'access', 'company', 'lose', 'connect', 'vpn'}"
post040,,0,set(),Upload speeds fine in browser but OBS keeps disconnecting,upload speed fine browser obs disconnect,"{'fine', 'obs', 'browser', 'upload', 'speed', 'disconnect'}"
post040,,1,"{'time', 'product', 'cardinal'}",Speedtest shows 20Mbps upload but OBS drops to 0 and disconnects every few minutes. On Windows 10 with wired Ethernet.,speedtest 20mbps upload,"{'speedtest', '20mbps', 'upload'}"
post041,,0,set(),"Cannot access specific website on Windows PC, works on phone",pc work phone specific website windows,"{'windows', 'specific', 'website', 'pc', 'work', 'phone'}"
post041,,1,"{'device', 'cardinal'}","One site just won’t load on my Windows desktop (ERR_CONNECTION_TIMED_OUT), but works fine on my phone on the same network.",windows desktop err_connection_timed_out,"{'windows', 'err_connection_timed_out', 'desktop'}"
post042,,0,set(),Multiple network profiles causing weird behavior,multiple network profile network profile cause,"{'profile', 'network', 'multiple', 'cause'}"
post042,,1,set(),"My PC shows 'Network 2', 'Network 3', etc. in the adapter list and sometimes apps won't connect unless I reset the adapter.",network network adapter apps wont connect,"{'wont', 'apps', 'network', 'connect', 'adapter'}"
post043,,0,set(),Proxy settings reset after every reboot,settings reset reboot,"{'reboot', 'reset', 'settings'}"
post043,,1,set(),"Even when I disable the proxy in Windows settings, it re-enables itself after a restart. Super annoying.",proxy windows settings restart super annoy disable proxy windows settings reenables restart,"{'windows', 'restart', 'reenables', 'proxy', 'disable', 'annoy', 'super', 'settings'}"
post044,,0,set(),"Wi-Fi connects but says 'No Internet, secured'",say internet secure connect say internet,"{'connect', 'say', 'internet', 'secure'}"
post044,,1,set(),"Windows connects to the school Wi-Fi but always says 'No Internet, secured'. Other students don’t have this issue.",windows connect school internet secure students connect school wifi,"{'windows', 'secure', 'wifi', 'internet', 'school', 'connect', 'students'}"
post045,,0,set(),"Google Drive sync not working on Windows, works on web",google drive sync sync work windows,"{'windows', 'drive', 'google', 'sync', 'work'}"
post045,,1,{'device'},Drive for Desktop says 'No connection' but I can use the web version fine. This started after a Windows update.,start windows update web version fine desktop say connection,"{'windows', 'fine', 'desktop', 'connection', 'web', 'start', 'version', 'say', 'update'}"
